; Date generated Fri Jul  7 14:01:49 2023
; 
;   Solar Spectral Irradiance from 
;   NASA SDO EVE Rocket 36.353 Results
;     MEGS-A and B Combined Spectrum
;     Sept 9, 2021
; ------------------------------------
;     Don Woodraska, Brian Templeman, Phil Chamberlin,
;     Tom Woods, Frank Eparvier, Andrew Jones
; 
;  This spectrum spans the EUV from approximately 6 to 105 nm.
; 
; *****
; ***** WARNING: THIS IS PRELIMINARY DATA - DO NOT PUBLISH
; *****
; ***** WARNING: This data is not ready for publication and may change.
; *****
; ***** WARNING: Uncertainties are underestimated!
; *****
; 
;  Applied calibration from SURF 2017
;  Applied NRL-MSIS00E atmospheric correction, about 3% at 30.4 nm
; 
;  MEGS-A slit 1 wavelength range is 0.01 nm sampling from 6-14.93 nm
;  MEGS-A slit 2 wavelength range is 0.01 nm sampling from 14.93-37.0000 nm
;  MEGS-B wavelength range is 0.02 nm sampling from 37.0000-105 nm
;  MEGS-B used 2017 380MeV scaled to 2010 ratio of 140/380MeV
;  MEGS-A1 used 2017 285MeV adjusted for 3_7
 10.440 2.466998e-05  0.093
 10.460 2.209297e-05  0.092
 10.480 2.319157e-05  0.092
 10.500 2.564674e-05  0.094
 10.520 2.744971e-05  0.093
 10.540 2.686186e-05  0.094
 10.560 2.391917e-05  0.095
 10.580 2.043260e-05  0.096
 10.600 1.808357e-05  0.097
 10.620 1.742587e-05  0.096
 10.640 1.727401e-05  0.096
 10.660 1.654070e-05  0.096
 10.680 1.537439e-05  0.094
 10.700 1.386189e-05  0.096
 10.720 1.284431e-05  0.096
 10.740 1.257961e-05  0.096
 10.760 1.314621e-05  0.096
 10.780 1.426637e-05  0.095
 10.800 1.583112e-05  0.097
 10.820 1.729884e-05  0.099
 10.840 1.804051e-05  0.095
 10.860 1.802358e-05  0.092
 10.880 1.710614e-05  0.094
 10.900 1.589753e-05  0.095
 10.920 1.433899e-05  0.096
 10.940 1.283435e-05  0.098
 10.960 1.153425e-05  0.095
 10.980 1.050091e-05  0.098
 11.000 9.805767e-06  0.101
 11.020 9.487963e-06  0.102
 11.040 9.703642e-06  0.098
 11.060 1.117321e-05  0.101
 11.080 1.441234e-05  0.101
 11.100 1.882352e-05  0.101
 11.120 2.312928e-05  0.098
 11.140 2.568667e-05  0.097
 11.160 2.610262e-05  0.098
 11.180 2.452834e-05  0.098
 11.200 2.187178e-05  0.097
 11.220 1.925615e-05  0.098
 11.240 1.706180e-05  0.098
 11.260 1.471123e-05  0.098
 11.280 1.299795e-05  0.096
